CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Segment,Cluster
12918.0,262,1,10953.5,1,1,5,115,7,High Value,0
12920.0,207,3,323.86,1,3,2,132,6,Others,0
12921.0,2,39,19333.95,5,5,5,555,15,Loyal Customers,2
12923.0,26,2,612.9,4,2,3,423,9,Recent Customers,1
12924.0,29,8,1535.7,4,5,4,454,13,Loyal Customers,1
12925.0,228,1,35.28,1,1,1,111,3,Others,0
12926.0,47,4,1548.46,3,4,4,344,11,Big Spenders,1
12927.0,30,1,197.31,4,1,1,411,6,Recent Customers,1
12928.0,14,7,2242.19,5,5,5,555,15,Loyal Customers,1
12931.0,16,42,50291.38,4,5,5,455,14,Loyal Customers,2
12932.0,175,8,1698.56,2,5,4,254,11,Frequent Buyers,0
12933.0,16,5,1079.5,4,4,4,444,12,Loyal Customers,1
12934.0,372,1,181.65,1,1,1,111,3,Others,0
12935.0,11,8,2083.16,5,5,5,555,15,Loyal Customers,1
12937.0,99,5,1593.34,2,4,4,244,10,Frequent Buyers,1
12939.0,15,12,13683.0,5,5,5,555,15,Loyal Customers,1
12941.0,360,1,377.49,1,1,2,112,4,Others,0
12942.0,1,1,258.75,5,1,2,512,8,Recent Customers,1
12943.0,194,2,496.5,1,2,3,123,6,Others,0
12945.0,292,1,437.16,1,1,2,112,4,Others,0
12946.0,72,1,324.45,2,1,2,212,5,Others,1
12947.0,9,1,304.04,5,1,2,512,8,Recent Customers,1
12948.0,366,2,252.48,1,2,2,122,5,Others,0
12949.0,18,14,11359.48,4,5,5,455,14,Loyal Customers,1
12951.0,22,9,2149.65,4,5,5,455,14,Loyal Customers,1
12953.0,158,1,498.96,2,1,3,213,6,Others,0
12954.0,274,1,162.45,1,1,1,111,3,Others,0
12956.0,320,3,413.82,1,3,2,132,6,Others,0
12957.0,177,5,4689.43,2,4,5,245,11,Frequent Buyers,0
12958.0,36,2,539.49,4,2,3,423,9,Recent Customers,1
12959.0,120,1,150.95,2,1,1,211,4,Others,1
12960.0,49,4,1322.07,3,4,4,344,11,Big Spenders,1
12961.0,15,1,211.99,5,1,1,511,7,Recent Customers,1
12963.0,1,5,1744.96,5,4,4,544,13,Loyal Customers,1
12964.0,73,1,132.24,2,1,1,211,4,Others,1
12967.0,7,2,2646.02,5,2,5,525,12,Big Spenders,1
12969.0,238,1,122.45,1,1,1,111,3,Others,0
12970.0,16,6,1072.73,4,4,4,444,12,Loyal Customers,1
12971.0,2,33,4782.88,5,5,5,555,15,Loyal Customers,1
12972.0,49,4,1161.2,3,4,4,344,11,Big Spenders,1
12973.0,49,1,385.55,3,1,2,312,6,Others,1
12974.0,201,1,264.15,1,1,2,112,4,Others,0
12975.0,72,6,2100.09,2,4,5,245,11,Frequent Buyers,1
12976.0,14,7,2417.78,5,5,5,555,15,Loyal Customers,1
12977.0,137,3,478.39,2,3,2,232,7,Others,1
12978.0,21,5,2502.82,4,4,5,445,13,Loyal Customers,1
12980.0,22,12,8870.880000000001,4,5,5,455,14,Loyal Customers,1
12982.0,30,7,2354.27,4,5,5,455,14,Loyal Customers,1
12983.0,234,1,490.08,1,1,3,113,5,Others,0
12986.0,64,10,2729.84,3,5,5,355,13,Big Spenders,1
12987.0,56,3,753.51,3,3,3,333,9,Others,1
12989.0,60,18,6627.64,3,5,5,355,13,Big Spenders,1
12990.0,53,4,546.0,3,4,3,343,10,Frequent Buyers,1
12991.0,25,1,261.06,4,1,2,412,7,Recent Customers,1
12992.0,361,1,93.35,1,1,1,111,3,Others,0
12993.0,81,4,844.87,2,4,3,243,9,Frequent Buyers,1
12996.0,11,1,355.5,5,1,2,512,8,Recent Customers,1
12997.0,30,4,884.02,4,4,3,443,11,Recent Engaged,1
12998.0,128,3,920.08,2,3,3,233,8,Others,1
13000.0,361,1,497.65,1,1,3,113,5,Others,0
13001.0,40,20,14353.28,3,5,5,355,13,Big Spenders,1
13002.0,52,2,293.18,3,2,2,322,7,Others,1
13004.0,22,18,5994.94,4,5,5,455,14,Loyal Customers,1
13005.0,67,2,485.98,3,2,2,322,7,Others,1
13007.0,215,1,175.25,1,1,1,111,3,Others,0
13008.0,33,2,382.66,4,2,2,422,8,Recent Customers,1
13009.0,308,1,234.0,1,1,1,111,3,Others,0
13010.0,10,2,330.12,5,2,2,522,9,Recent Customers,1
13011.0,8,1,50.55,5,1,1,511,7,Recent Customers,1
13012.0,65,3,1310.99,3,3,4,334,10,Big Spenders,1
13013.0,7,18,7814.83,5,5,5,555,15,Loyal Customers,1
13014.0,68,1,1914.8,3,1,4,314,8,Big Spenders,1
13015.0,74,6,3240.14,2,4,5,245,11,Frequent Buyers,1
13018.0,49,7,2485.46,3,5,5,355,13,Big Spenders,1
13019.0,15,6,1229.95,5,4,4,544,13,Loyal Customers,1
13020.0,198,2,618.96,1,2,3,123,6,Others,0
13021.0,10,8,2270.86,5,5,5,555,15,Loyal Customers,1
13023.0,164,1,759.13,2,1,3,213,6,Others,0
13024.0,106,2,555.87,2,2,3,223,7,Others,1
13025.0,367,1,323.39,1,1,2,112,4,Others,0
13026.0,124,4,757.72,2,4,3,243,9,Frequent Buyers,1
13027.0,21,13,10423.2,4,5,5,455,14,Loyal Customers,1
13029.0,10,2,679.8,5,2,3,523,10,Recent Customers,1
13030.0,4,1,427.74,5,1,2,512,8,Recent Customers,1
13031.0,43,5,3419.27,3,4,5,345,12,Big Spenders,1
13032.0,28,7,1833.37,4,5,4,454,13,Loyal Customers,1
13033.0,65,1,30.0,3,1,1,311,5,Others,1
13034.0,5,2,279.91,5,2,2,522,9,Recent Customers,1
13035.0,67,1,442.32,3,1,2,312,6,Others,1
13036.0,320,1,307.1,1,1,2,112,4,Others,0
13037.0,35,9,3033.88,4,5,5,455,14,Loyal Customers,1
13039.0,220,4,1010.73,1,4,4,144,9,Frequent Buyers,0
13041.0,86,4,799.13,2,4,3,243,9,Frequent Buyers,1
13042.0,234,3,1556.54,1,3,4,134,8,High Value,0
13044.0,128,10,4293.43,2,5,5,255,12,Frequent Buyers,1
13045.0,37,2,503.64,3,2,3,323,8,Others,1
13046.0,92,1,319.94,2,1,2,212,5,Others,1
13047.0,9,17,5557.62,5,5,5,555,15,Loyal Customers,1
13048.0,72,5,2248.3,2,4,5,245,11,Frequent Buyers,1
13049.0,25,2,751.5600000000001,4,2,3,423,9,Recent Customers,1
13050.0,2,19,6507.67,5,5,5,555,15,Loyal Customers,1
13051.0,214,2,155.8,1,2,1,121,4,Others,0
13052.0,56,6,2820.38,3,4,5,345,12,Big Spenders,1
13053.0,257,1,127.65,1,1,1,111,3,Others,0
13055.0,65,1,1106.7,3,1,4,314,8,Big Spenders,1
13056.0,187,1,209.48,1,1,1,111,3,Others,0
13057.0,166,3,722.09,2,3,3,233,8,Others,0
13059.0,49,9,2119.77,3,5,5,355,13,Big Spenders,1
13063.0,116,1,188.4,2,1,1,211,4,Others,1
13064.0,186,2,561.25,1,2,3,123,6,Others,0
13065.0,9,5,1055.05,5,4,4,544,13,Loyal Customers,1
13067.0,45,2,393.05,3,2,2,322,7,Others,1
13069.0,5,16,5247.01,5,5,5,555,15,Loyal Customers,1
13070.0,95,3,522.9,2,3,3,233,8,Others,1
13071.0,248,1,129.22,1,1,1,111,3,Others,0
13073.0,47,2,418.08,3,2,2,322,7,Others,1
13074.0,147,4,1378.74,2,4,4,244,10,Frequent Buyers,0
13076.0,93,1,135.4,2,1,1,211,4,Others,1
13077.0,2,8,2335.4,5,5,5,555,15,Loyal Customers,1
13078.0,2,32,16904.510000000002,5,5,5,555,15,Loyal Customers,2
13079.0,53,1,199.08,3,1,1,311,5,Others,1
13080.0,37,3,222.65,3,3,1,331,7,Others,1
13081.0,7,19,30867.77,5,5,5,555,15,Loyal Customers,2
13082.0,60,12,3722.12,3,5,5,355,13,Big Spenders,1
13083.0,61,1,91.68,3,1,1,311,5,Others,1
13084.0,127,1,122.4,2,1,1,211,4,Others,1
13085.0,315,6,2017.2,1,4,4,144,9,Frequent Buyers,0
13086.0,18,1,439.33,4,1,2,412,7,Recent Customers,1
13087.0,362,1,313.64,1,1,2,112,4,Others,0
13088.0,53,1,236.11,3,1,1,311,5,Others,1
13089.0,4,109,57912.03,5,5,5,555,15,Loyal Customers,2
13090.0,1,13,5192.27,5,5,5,555,15,Loyal Customers,1
13091.0,365,2,1976.0,1,2,4,124,7,High Value,0
13092.0,50,7,1662.45,3,5,4,354,12,Big Spenders,1
13093.0,9,48,47111.18,5,5,5,555,15,Loyal Customers,2
13094.0,4,2,505.8,5,2,3,523,10,Recent Customers,1
13096.0,30,1,419.7000000000001,4,1,2,412,7,Recent Customers,1
13097.0,24,18,7378.8,4,5,5,455,14,Loyal Customers,1
13101.0,134,3,594.21,2,3,3,233,8,Others,1
13102.0,1,14,5272.83,5,5,5,555,15,Loyal Customers,1
13103.0,73,2,465.7000000000001,2,2,2,222,6,Others,1
13104.0,51,3,610.62,3,3,3,333,9,Others,1
13105.0,72,1,72.0,2,1,1,211,4,Others,1
13106.0,49,1,526.96,3,1,3,313,7,Others,1
13107.0,49,5,3721.45,3,4,5,345,12,Big Spenders,1
13108.0,8,2,748.46,5,2,3,523,10,Recent Customers,1
13109.0,187,1,347.49,1,1,2,112,4,Others,0
13110.0,73,5,1468.8000000000002,2,4,4,244,10,Frequent Buyers,1
13111.0,354,1,321.88000000000005,1,1,2,112,4,Others,0
13112.0,177,1,20.6,2,1,1,211,4,Others,0
13113.0,2,14,6379.77,5,5,5,555,15,Loyal Customers,1
13114.0,366,1,234.38,1,1,1,111,3,Others,0
13115.0,15,6,3199.92,5,4,5,545,14,Loyal Customers,1
13117.0,1,12,1658.9,5,5,4,554,14,Loyal Customers,1
13118.0,12,4,1217.6,5,4,4,544,13,Loyal Customers,1
13119.0,304,1,134.9,1,1,1,111,3,Others,0
13123.0,108,2,506.75,2,2,3,223,7,Others,1
13124.0,21,1,916.12,4,1,3,413,8,Recent Customers,1
13125.0,159,1,158.57,2,1,1,211,4,Others,0
13126.0,2,7,1898.61,5,5,4,554,14,Loyal Customers,1
13128.0,267,1,263.5,1,1,2,112,4,Others,0
13129.0,88,2,233.25,2,2,1,221,5,Others,1
13131.0,54,4,2240.47,3,4,5,345,12,Big Spenders,1
13133.0,95,1,90.65,2,1,1,211,4,Others,1
13134.0,38,2,681.65,3,2,3,323,8,Others,1
13135.0,127,1,275.45,2,1,2,212,5,Others,1
13136.0,11,8,3666.95,5,5,5,555,15,Loyal Customers,1
13137.0,22,8,4062.29,4,5,5,455,14,Loyal Customers,1
13138.0,8,2,504.85,5,2,3,523,10,Recent Customers,1
13139.0,73,1,3138.04,2,1,5,215,8,High Value,1
13140.0,2,3,791.96,5,3,3,533,11,Recent Engaged,1
13141.0,21,12,5279.83,4,5,5,455,14,Loyal Customers,1
13143.0,220,1,405.1,1,1,2,112,4,Others,0
13144.0,67,1,24.4,3,1,1,311,5,Others,1
13145.0,8,4,805.0,5,4,3,543,12,Recent Engaged,1
13148.0,25,14,4914.6900000000005,4,5,5,455,14,Loyal Customers,1
13150.0,120,3,449.97,2,3,2,232,7,Others,1
13151.0,261,2,1322.87,1,2,4,124,7,High Value,0
13152.0,53,7,2146.38,3,5,5,355,13,Big Spenders,1
13154.0,35,3,1624.84,4,3,4,434,11,Recent Engaged,1
13155.0,4,3,778.42,5,3,3,533,11,Recent Engaged,1
13156.0,21,3,1586.54,4,3,4,434,11,Recent Engaged,1
13157.0,45,5,3946.14,3,4,5,345,12,Big Spenders,1
13158.0,24,1,307.12,4,1,2,412,7,Recent Customers,1
13161.0,136,1,366.13,2,1,2,212,5,Others,1
13162.0,16,12,7587.2,4,5,5,455,14,Loyal Customers,1
13163.0,246,1,17.65,1,1,1,111,3,Others,0
13164.0,205,2,372.2,1,2,2,122,5,Others,0
13165.0,49,1,429.68,3,1,2,312,6,Others,1
13166.0,50,1,466.98,3,1,2,312,6,Others,1
13167.0,26,1,333.82,4,1,2,412,7,Recent Customers,1
13168.0,178,1,556.12,1,1,3,113,5,Others,0
13169.0,198,1,127.2,1,1,1,111,3,Others,0
13172.0,36,1,69.6,4,1,1,411,6,Recent Customers,1
13173.0,3,10,2285.7,5,5,5,555,15,Loyal Customers,1
13174.0,5,10,6677.81,5,5,5,555,15,Loyal Customers,1
13175.0,218,2,831.45,1,2,3,123,6,Others,0
13177.0,66,1,229.75,3,1,1,311,5,Others,1
13178.0,33,10,8333.72,4,5,5,455,14,Loyal Customers,1
13179.0,254,1,572.3100000000001,1,1,3,113,5,Others,0
13180.0,243,1,86.10000000000001,1,1,1,111,3,Others,0
13181.0,17,1,359.69,4,1,2,412,7,Recent Customers,1
13183.0,30,6,3078.4,4,4,5,445,13,Loyal Customers,1
13187.0,260,3,130.99,1,3,1,131,5,Others,0
13190.0,180,3,570.66,1,3,3,133,7,Others,0
13191.0,294,1,164.69,1,1,1,111,3,Others,0
13192.0,171,4,1646.64,2,4,4,244,10,Frequent Buyers,0
13194.0,57,1,412.08,3,1,2,312,6,Others,1
13195.0,50,1,172.38,3,1,1,311,5,Others,1
13196.0,79,3,1271.06,2,3,4,234,9,High Value,1
13197.0,245,1,373.0100000000001,1,1,2,112,4,Others,0
13198.0,23,2,1572.99,4,2,4,424,10,Big Spenders,1
13199.0,2,30,6615.77,5,5,5,555,15,Loyal Customers,1
13201.0,138,4,1240.61,2,4,4,244,10,Frequent Buyers,1
13202.0,30,7,1580.3,4,5,4,454,13,Loyal Customers,1
13203.0,22,6,1778.79,4,4,4,444,12,Loyal Customers,1
13204.0,367,1,966.66,1,1,4,114,6,High Value,0
13205.0,79,1,2803.2,2,1,5,215,8,High Value,1
13206.0,36,13,8377.32,4,5,5,455,14,Loyal Customers,1
13207.0,87,2,285.6,2,2,2,222,6,Others,1
13208.0,85,3,764.6,2,3,3,233,8,Others,1
13209.0,150,5,2617.9,2,4,5,245,11,Frequent Buyers,0
13211.0,17,7,1531.9,4,5,4,454,13,Loyal Customers,1
13213.0,19,6,2330.94,4,4,5,445,13,Loyal Customers,1
13214.0,53,7,3264.23,3,5,5,355,13,Big Spenders,1
13215.0,38,1,81.6,3,1,1,311,5,Others,1
13217.0,291,1,132.5,1,1,1,111,3,Others,0
13219.0,254,1,76.23,1,1,1,111,3,Others,0
13220.0,211,1,516.8,1,1,3,113,5,Others,0
13222.0,213,1,88.5,1,1,1,111,3,Others,0
13223.0,59,4,805.9200000000001,3,4,3,343,10,Frequent Buyers,1
13225.0,57,9,9796.23,3,5,5,355,13,Big Spenders,1
13226.0,29,1,204.25,4,1,1,411,6,Recent Customers,1
13230.0,1,17,3553.81,5,5,5,555,15,Loyal Customers,1
13233.0,56,2,571.34,3,2,3,323,8,Others,1
13234.0,308,2,356.95,1,2,2,122,5,Others,0
13237.0,23,1,643.0,4,1,3,413,8,Recent Customers,1
13238.0,66,2,305.9,3,2,2,322,7,Others,1
13239.0,73,4,1265.13,2,4,4,244,10,Frequent Buyers,1
13240.0,1,5,1074.87,5,4,4,544,13,Loyal Customers,1
13241.0,47,1,115.58,3,1,1,311,5,Others,1
13242.0,87,4,429.0,2,4,2,242,8,Frequent Buyers,1
13243.0,85,4,677.97,2,4,3,243,9,Frequent Buyers,1
13245.0,68,1,558.72,3,1,3,313,7,Others,1
13246.0,29,5,1400.13,4,4,4,444,12,Loyal Customers,1
13249.0,37,6,897.52,3,4,3,343,10,Frequent Buyers,1
13250.0,96,2,256.04,2,2,2,222,6,Others,1
13251.0,38,1,252.68,3,1,2,312,6,Others,1
13252.0,30,2,399.3,4,2,2,422,8,Recent Customers,1
13253.0,66,2,1920.71,3,2,4,324,9,Big Spenders,1
13254.0,12,1,51.41,5,1,1,511,7,Recent Customers,1
13255.0,9,2,504.95,5,2,3,523,10,Recent Customers,1
13257.0,72,1,149.75,2,1,1,211,4,Others,1
13258.0,15,2,336.6,5,2,2,522,9,Recent Customers,1
13259.0,33,8,1141.06,4,5,4,454,13,Loyal Customers,1
13262.0,25,2,373.16,4,2,2,422,8,Recent Customers,1
13263.0,29,4,1250.62,4,4,4,444,12,Loyal Customers,1
13264.0,78,1,722.5600000000001,2,1,3,213,6,Others,1
13266.0,49,7,2300.78,3,5,5,355,13,Big Spenders,1
13267.0,2,18,5236.77,5,5,5,555,15,Loyal Customers,1
13269.0,5,14,3545.47,5,5,5,555,15,Loyal Customers,1
13270.0,2,1,590.0,5,1,3,513,9,Recent Customers,1
13274.0,45,1,360.85,3,1,2,312,6,Others,1
13275.0,19,2,241.66,4,2,1,421,7,Recent Customers,1
13276.0,33,3,1348.33,4,3,4,434,11,Recent Engaged,1
13277.0,16,3,264.9,4,3,2,432,9,Recent Engaged,1
13278.0,35,3,893.12,4,3,3,433,10,Recent Engaged,1
13280.0,15,4,1507.77,5,4,4,544,13,Loyal Customers,1
13281.0,75,1,350.85,2,1,2,212,5,Others,1
13282.0,42,1,181.05,3,1,1,311,5,Others,1
13283.0,203,2,279.7,1,2,2,122,5,Others,0
13285.0,236,2,655.47,1,2,3,123,6,Others,0
13286.0,236,1,734.91,1,1,3,113,5,Others,0
13287.0,239,3,781.59,1,3,3,133,7,Others,0
13288.0,79,5,927.61,2,4,3,243,9,Frequent Buyers,1
13289.0,359,1,307.95,1,1,2,112,4,Others,0
13290.0,74,1,208.63,2,1,1,211,4,Others,1
13291.0,50,10,2959.73,3,5,5,355,13,Big Spenders,1
13292.0,51,3,415.57,3,3,2,332,8,Others,1
13293.0,28,6,1192.94,4,4,4,444,12,Loyal Customers,1
13294.0,282,1,815.79,1,1,3,113,5,Others,0
13295.0,12,3,900.77,5,3,3,533,11,Recent Engaged,1
13296.0,59,5,705.11,3,4,3,343,10,Frequent Buyers,1
13297.0,21,3,2278.77,4,3,5,435,12,Recent Engaged,1
13299.0,59,2,1076.2,3,2,4,324,9,Big Spenders,1
13300.0,24,2,913.62,4,2,3,423,9,Recent Customers,1
13302.0,162,1,95.45,2,1,1,211,4,Others,0
13303.0,36,1,61.72,4,1,1,411,6,Recent Customers,1
13304.0,91,3,917.57,2,3,3,233,8,Others,1
13305.0,8,7,1753.85,5,5,4,554,14,Loyal Customers,1
13306.0,66,1,53.65,3,1,1,311,5,Others,1
13307.0,123,2,258.34,2,2,2,222,6,Others,1
13308.0,232,1,284.86,1,1,2,112,4,Others,0
13309.0,28,1,249.58,4,1,2,412,7,Recent Customers,1
13310.0,16,2,409.17,4,2,2,422,8,Recent Customers,1
13312.0,87,1,124.75,2,1,1,211,4,Others,1
13313.0,115,7,1890.0,2,5,4,254,11,Frequent Buyers,1
13315.0,325,1,310.26,1,1,2,112,4,Others,0
13316.0,28,6,7213.84,4,4,5,445,13,Loyal Customers,1
13317.0,21,13,4212.411,4,5,5,455,14,Loyal Customers,1
13319.0,1,34,11236.95,5,5,5,555,15,Loyal Customers,2
13320.0,70,2,679.4,3,2,3,323,8,Others,1
13324.0,64,8,3391.52,3,5,5,355,13,Big Spenders,1
13326.0,68,1,281.76,3,1,2,312,6,Others,1
13327.0,1,14,6251.71,5,5,5,555,15,Loyal Customers,1
13329.0,2,7,4323.97,5,5,5,555,15,Loyal Customers,1
13330.0,91,3,1665.25,2,3,4,234,9,High Value,1
13331.0,37,1,262.4,3,1,2,312,6,Others,1
13333.0,47,3,1015.74,3,3,4,334,10,Big Spenders,1
13334.0,172,2,2726.93,2,2,5,225,9,High Value,0
13337.0,182,1,1575.26,1,1,4,114,6,High Value,0
13338.0,177,3,1958.6,2,3,4,234,9,High Value,0
13340.0,53,5,11364.08,3,4,5,345,12,Big Spenders,1
13346.0,98,6,299.4,2,4,2,242,8,Frequent Buyers,1
13357.0,130,4,3228.41,2,4,5,245,11,Frequent Buyers,1
13359.0,39,1,603.75,3,1,3,313,7,Others,1
13360.0,67,4,1553.65,3,4,4,344,11,Big Spenders,1
13361.0,108,2,1450.5,2,2,4,224,8,High Value,1
13362.0,14,3,2303.33,5,3,5,535,13,Recent Engaged,1
13363.0,45,1,731.36,3,1,3,313,7,Others,1
13367.0,67,1,510.2000000000001,3,1,3,313,7,Others,1
13368.0,50,2,498.1,3,2,3,323,8,Others,1
13369.0,1,1,308.28000000000003,5,1,2,512,8,Recent Customers,1
13370.0,7,1,754.87,5,1,3,513,9,Recent Customers,1
13371.0,141,2,2297.66,2,2,5,225,9,High Value,1
13373.0,51,3,4274.94,3,3,5,335,11,Big Spenders,1
13374.0,50,2,422.8,3,2,2,322,7,Others,1
13375.0,80,1,1013.58,2,1,4,214,7,High Value,1
13377.0,32,2,1552.88,4,2,4,424,10,Big Spenders,1
13380.0,68,1,62.4,3,1,1,311,5,Others,1
13381.0,15,6,4585.06,5,4,5,545,14,Loyal Customers,1
13382.0,64,4,1164.59,3,4,4,344,11,Big Spenders,1
13383.0,179,1,305.28000000000003,1,1,2,112,4,Others,0
13384.0,26,4,2528.9,4,4,5,445,13,Loyal Customers,1
13386.0,50,2,835.46,3,2,3,323,8,Others,1
13387.0,53,1,189.44,3,1,1,311,5,Others,1
13388.0,239,1,508.55,1,1,3,113,5,Others,0
13392.0,313,1,91.14,1,1,1,111,3,Others,0
13393.0,219,4,1131.45,1,4,4,144,9,Frequent Buyers,0
13394.0,15,11,4101.68,5,5,5,555,15,Loyal Customers,1
13395.0,36,2,872.51,4,2,3,423,9,Recent Customers,1
13397.0,73,5,1647.74,2,4,4,244,10,Frequent Buyers,1
13398.0,84,1,213.0,2,1,1,211,4,Others,1
13399.0,100,3,275.4,2,3,2,232,7,Others,1
13400.0,218,1,310.83,1,1,2,112,4,Others,0
13402.0,8,3,913.9,5,3,3,533,11,Recent Engaged,1
13403.0,23,2,154.5,4,2,1,421,7,Recent Customers,1
13405.0,117,3,641.36,2,3,3,233,8,Others,1
13406.0,63,2,568.92,3,2,3,323,8,Others,1
13407.0,214,3,2244.7,1,3,5,135,9,High Value,0
13408.0,7,46,23616.422,5,5,5,555,15,Loyal Customers,2
13410.0,29,4,1198.9,4,4,4,444,12,Loyal Customers,1
13412.0,256,1,487.35,1,1,2,112,4,Others,0
13413.0,275,6,429.44,1,4,2,142,7,Frequent Buyers,0
13414.0,99,3,1103.64,2,3,4,234,9,High Value,1
13415.0,108,4,800.67,2,4,3,243,9,Frequent Buyers,1
13416.0,372,1,228.3,1,1,1,111,3,Others,0
13417.0,183,4,1028.66,1,4,4,144,9,Frequent Buyers,0
13418.0,8,15,6106.17,5,5,5,555,15,Loyal Customers,1
13421.0,42,6,2252.04,3,4,5,345,12,Big Spenders,1
13423.0,64,1,217.03,3,1,1,311,5,Others,1
13424.0,85,1,572.77,2,1,3,213,6,Others,1
13425.0,144,2,1779.42,2,2,4,224,8,High Value,0
13426.0,18,12,4526.06,4,5,5,455,14,Loyal Customers,1
13427.0,113,3,423.93,2,3,2,232,7,Others,1
13428.0,150,2,281.51,2,2,2,222,6,Others,0
13431.0,42,6,2047.14,3,4,4,344,11,Big Spenders,1
13432.0,207,2,439.1,1,2,2,122,5,Others,0
13433.0,137,4,658.3199999999999,2,4,3,243,9,Frequent Buyers,1
